voor_huis;MAP;
Latitude;Longitude;Datum;Tijd;IRMI;IBI;Amount;Sprayer;Section;Amount_2;Sprayer_2;Section_2;
51.316583;5.174924;31.05.2015;07:13:11;17.8;1.81;0;100;48;100;0;0;
51.316617;5.175087;31.05.2015;07:13:11;18.0;1.68;0;100;768;100;0;0;
51.316568;5.174852;31.05.2015;07:13:11;7.3;1.21;0;100;12;100;0;0;
51.316602;5.175016;31.05.2015;07:13:11;18.3;1.78;0;100;192;100;0;0;
51.316629;5.175148;31.05.2015;07:13:11;13.8;2.23;0;100;3072;100;0;0;
51.316774;5.174836;31.05.2015;07:13:12;18.5;1.84;0;100;48;100;0;0;
51.316808;5.174999;31.05.2015;07:13:12;18.0;1.64;0;100;768;100;0;0;
51.316759;5.174764;31.05.2015;07:13:12;12.5;1.42;0;100;12;100;0;0;
51.316793;5.174928;31.05.2015;07:13:12;18.6;1.79;0;100;192;100;0;0;
51.316821;5.175060;31.05.2015;07:13:12;15.3;2.29;0;100;3072;100;0;0;
51.316798;5.174823;31.05.2015;07:13:13;18.0;1.78;0;100;48;100;0;0;
51.316833;5.174986;31.05.2015;07:13:13;18.3;1.63;0;100;768;100;0;0;
51.316783;5.174752;31.05.2015;07:13:13;16.4;1.64;0;100;12;100;0;0;
51.316818;5.174915;31.05.2015;07:13:13;18.4;1.75;0;100;192;100;0;0;
51.316846;5.175047;31.05.2015;07:13:13;16.2;2.40;0;100;3072;100;0;0;
51.316823;5.174810;31.05.2015;07:13:14;17.5;1.77;0;100;48;100;0;0;
51.316857;5.174973;31.05.2015;07:13:14;18.9;1.69;0;100;768;100;0;0;
51.316808;5.174739;31.05.2015;07:13:14;17.6;1.81;0;100;12;100;0;0;
51.316842;5.174902;31.05.2015;07:13:14;18.3;1.73;0;100;192;100;0;0;
51.316870;5.175034;31.05.2015;07:13:14;17.2;2.53;0;100;3072;100;0;0;
51.316847;5.174797;31.05.2015;07:13:15;16.6;1.75;0;100;48;100;0;0;
51.316882;5.174960;31.05.2015;07:13:15;19.4;1.74;0;100;768;100;0;0;
51.316832;5.174726;31.05.2015;07:13:15;17.6;1.93;0;100;12;100;0;0;
51.316867;5.174889;31.05.2015;07:13:15;18.3;1.76;0;100;192;100;0;0;
51.316895;5.175021;31.05.2015;07:13:15;17.7;2.64;0;100;3072;100;0;0;
51.316872;5.174784;31.05.2015;07:13:16;16.3;1.71;0;100;48;100;0;0;
51.316907;5.174947;31.05.2015;07:13:16;19.5;1.77;0;100;768;100;0;0;
51.316857;5.174713;31.05.2015;07:13:16;17.8;1.96;0;100;12;100;0;0;
51.316892;5.174876;31.05.2015;07:13:16;18.6;1.82;0;100;192;100;0;0;
51.316920;5.175008;31.05.2015;07:13:16;17.5;2.63;0;100;3072;100;0;0;
51.316899;5.174770;31.05.2015;07:13:17;16.5;1.71;0;100;48;100;0;0;
51.316933;5.174934;31.05.2015;07:13:17;19.6;1.78;0;100;768;100;0;0;
51.316884;5.174699;31.05.2015;07:13:17;18.0;1.93;0;100;12;100;0;0;
51.316918;5.174862;31.05.2015;07:13:17;18.9;1.82;0;100;192;100;0;0;
51.316946;5.174995;31.05.2015;07:13:17;17.5;2.62;0;100;3072;100;0;0;
51.316928;5.174755;31.05.2015;07:13:18;17.3;1.75;0;100;48;100;0;0;
51.316962;5.174919;31.05.2015;07:13:18;19.2;1.71;0;100;768;100;0;0;
51.316913;5.174684;31.05.2015;07:13:18;18.1;1.86;0;100;12;100;0;0;
51.316947;5.174847;31.05.2015;07:13:18;19.0;1.75;0;100;192;100;0;0;
51.316975;5.174980;31.05.2015;07:13:18;17.2;2.54;0;100;3072;100;0;0;
51.316928;5.174755;31.05.2015;07:13:18;18.3;1.80;0;100;48;100;0;0;
51.316993;5.174903;31.05.2015;07:13:19;19.2;1.65;0;100;768;100;0;0;
51.316945;5.174667;31.05.2015;07:13:19;18.3;1.83;0;100;12;100;0;0;
51.316979;5.174831;31.05.2015;07:13:19;19.6;1.76;0;100;192;100;0;0;
51.317006;5.174964;31.05.2015;07:13:19;16.8;2.47;0;100;3072;100;0;0;
51.316960;5.174739;31.05.2015;07:13:19;18.8;1.84;0;100;48;100;0;0;
51.317026;5.174886;31.05.2015;07:13:20;18.8;1.58;0;100;768;100;0;0;
51.316979;5.174651;31.05.2015;07:13:20;18.4;1.84;0;100;12;100;0;0;
51.317012;5.174814;31.05.2015;07:13:20;19.1;1.72;0;100;192;100;0;0;
51.317039;5.174947;31.05.2015;07:13:20;16.5;2.43;0;100;3072;100;0;0;
51.316993;5.174722;31.05.2015;07:13:20;19.0;1.91;0;100;48;100;0;0;
51.317060;5.174869;31.05.2015;07:13:21;18.9;1.60;0;100;768;100;0;0;
51.317011;5.174634;31.05.2015;07:13:21;18.2;1.89;0;100;12;100;0;0;
51.317045;5.174798;31.05.2015;07:13:21;19.0;1.72;0;100;192;100;0;0;
51.317072;5.174930;31.05.2015;07:13:21;16.5;2.47;0;100;3072;100;0;0;
51.317026;5.174705;31.05.2015;07:13:21;18.7;1.94;0;100;48;100;0;0;
51.317093;5.174852;31.05.2015;07:13:22;18.9;1.65;0;100;768;100;0;0;
51.317044;5.174617;31.05.2015;07:13:22;18.0;1.92;0;100;12;100;0;0;
51.317078;5.174780;31.05.2015;07:13:22;18.4;1.69;0;100;192;100;0;0;
51.317106;5.174913;31.05.2015;07:13:22;16.8;2.54;0;100;3072;100;0;0;
51.317059;5.174688;31.05.2015;07:13:22;18.1;1.92;0;100;48;100;0;0;
51.317126;5.174835;31.05.2015;07:13:23;19.1;1.72;0;100;768;100;0;0;
51.317077;5.174600;31.05.2015;07:13:23;17.5;1.96;0;100;12;100;0;0;
51.317111;5.174763;31.05.2015;07:13:23;18.4;1.75;0;100;192;100;0;0;
51.317138;5.174896;31.05.2015;07:13:23;16.7;2.58;0;100;3072;100;0;0;
51.317092;5.174671;31.05.2015;07:13:23;17.3;1.82;0;100;48;100;0;0;
