meetobject.namespace	Meetobject.lokaalID	Meetobject.omschrijving	GeometriePunt.X	GeometriePunt.Y	ResultaatDatum	Begindatum	Begintijd	Einddatum	Eindtijd	WNS.nummer	Typering.code	Grootheid.code	Parameter.code	Parameter.groep	Biotaxon.naam	Eenheid.code	Hoedanigheid.code	AnalyseCompartiment.code	Levensstadium.code	Lengteklasse.code	Geslacht.code	Verschijningsvorm.code	Levensvorm.code	Gedrag.code	Wardebewerkingsmethde.code	Waardebepalingsmethode.code	Limietsymbool	Numeriekewaarde	Alfanumeriekewaarde	Kwaliteitsoordeel.code
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS1097		CONCTTE	glyfst	ChemischeStof		ug/l	NVT	OW									<	0.5		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS2440		CONCTTE	OS	Object		mg/l	NVT	OW									<	5		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS2653		CONCTTE	AMPA	ChemischeStof		ug/l	NVT	OW									<	0.2		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										126		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS3814		CONCTTE	fluaznm	ChemischeStof		ug/l	NVT	OW									<	0.05		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										8.1		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										126		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS3838		T		Grootheid		oC	INSU	OW										6.2		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS3839		VERZDGGD	O2	ChemischeStof		%	INSU	OW										74		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS3840		CONCTTE	O2	ChemischeStof		mg/l	INSU	OW										9.2		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS3844		ZICHT		Grootheid		cm	INSU	OW									>	80		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS3878		CONCTTE	glufsnt	ChemischeStof		ug/l	NVT	OW									<	0.2		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS4354		CONCTTE	proClaz	ChemischeStof		ug/l	NVT	OW									<	0.05		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS4555		CONCTTE	Dfncnzl	ChemischeStof		ug/l	NVT	OW									<	0.05		0
NL37	26CN-093-01	"WEERWATER, t.h.v. Cable waterskicenter Lido Almere"	143272	485630	06/01/2004	06/01/2004	12:00:00			WNS6927		AANWZHD	KLEUR	Object		DIMSLS	INSU	OW										110		0
NL37	20FZ-018-01	"ABTSTOCHT, duiker Schokkerringweg (NP105)"	175299	517477	12/01/2004	12/01/2004	10:15:00			WNS2261		CONCTTE	Cl	ChemischeStof		mg/l	NVT	OW										225		0
NL37	20FZ-018-01	"ABTSTOCHT, duiker Schokkerringweg (NP105)"	175299	517477	12/01/2004	12/01/2004	10:15:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										187		0
NL37	20FZ-018-01	"ABTSTOCHT, duiker Schokkerringweg (NP105)"	175299	517477	12/01/2004	12/01/2004	10:15:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										7.1		0
NL37	20FZ-018-01	"ABTSTOCHT, duiker Schokkerringweg (NP105)"	175299	517477	12/01/2004	12/01/2004	10:15:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										187		0
NL37	20FZ-018-01	"ABTSTOCHT, duiker Schokkerringweg (NP105)"	175299	517477	12/01/2004	12/01/2004	10:15:00			WNS3838		T		Grootheid		oC	INSU	OW										5.2		0
NL37	20FZ-018-01	"ABTSTOCHT, duiker Schokkerringweg (NP105)"	175299	517477	12/01/2004	12/01/2004	10:15:00			WNS3839		VERZDGGD	O2	ChemischeStof		%	INSU	OW										65		0
NL37	20FZ-018-01	"ABTSTOCHT, duiker Schokkerringweg (NP105)"	175299	517477	12/01/2004	12/01/2004	10:15:00			WNS3840		CONCTTE	O2	ChemischeStof		mg/l	INSU	OW										8.2		0
NL37	20FZ-018-01	"ABTSTOCHT, duiker Schokkerringweg (NP105)"	175299	517477	12/01/2004	12/01/2004	10:15:00			WNS3844		ZICHT		Grootheid		cm	INSU	OW										80		0
NL37	20FZ-018-01	"ABTSTOCHT, duiker Schokkerringweg (NP105)"	175299	517477	12/01/2004	12/01/2004	10:15:00			WNS5096		CONCTTE	Fe	ChemischeStof		ug/l	NVT	OW										2200		0
NL37	20FZ-018-01	"ABTSTOCHT, duiker Schokkerringweg (NP105)"	175299	517477	12/01/2004	12/01/2004	10:15:00			WNS6927		AANWZHD	KLEUR	Object		DIMSLS	INSU	OW										110		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS1147		CONCTTE	Hg	ChemischeStof		ug/l	NVT	OW									<	0.01		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS1415		CONCTTE	Ni	ChemischeStof		ug/l	NVT	OW										1		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS1471		CONCTTE	Pb	ChemischeStof		ug/l	NVT	OW									<	5		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS1745		CONCTTE	sNO3NO2	ChemischeStof		mg/l	N	OW										5.8		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS2209		CONCTTE	Zn	ChemischeStof		ug/l	NVT	OW										11		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS2261		CONCTTE	Cl	ChemischeStof		mg/l	NVT	OW										520		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS2323		CONCTTE	NKj	ChemischeStof		mg/l	N	OW										3		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS2336		CONCTTE	NH4	ChemischeStof		mg/l	N	OW										1.4		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS2341		CONCTTE	NO2	ChemischeStof		mg/l	N	OW										0.08		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS2343		CONCTTE	NO3	ChemischeStof		mg/l	N	OW										5.7		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS2354		CONCTTE	Ptot	ChemischeStof		mg/l	P	OW										0.43		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS2363		CONCTTE	PO4	ChemischeStof		mg/l	P	OW										0.13		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS2440		CONCTTE	OS	Object		mg/l	NVT	OW										8		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										299		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										7.3		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										299		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS3838		T		Grootheid		oC	INSU	OW										7.7		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS3839		VERZDGGD	O2	ChemischeStof		%	INSU	OW										68		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS3840		CONCTTE	O2	ChemischeStof		mg/l	INSU	OW										7.9		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS3844		ZICHT		Grootheid		cm	INSU	OW										70		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS476		CONCTTE	As	ChemischeStof		ug/l	NVT	OW										3		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS5096		CONCTTE	Fe	ChemischeStof		ug/l	NVT	OW										1300		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS6064		VOLMFTE	GR	Object		%	NVT	OW										80		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS649		CONCTTE	Cd	ChemischeStof		ug/l	NVT	OW									<	0.1		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS6927		AANWZHD	KLEUR	Object		DIMSLS	INSU	OW										10		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS718		CONCTTE	Cr	ChemischeStof		ug/l	NVT	OW										1		0
NL37	26BN-008-01	"LAGE DWARSVAART, brug Buizerdweg"	158033	499870	12/01/2004	12/01/2004	10:20:00			WNS742		CONCTTE	Cu	ChemischeStof		ug/l	NVT	OW										2		0
NL37	20FZ-024-01	"NAGELERTOCHT, bij basisschool Klimop (NP103)"	178007	517704	12/01/2004	12/01/2004	10:30:00			WNS2261		CONCTTE	Cl	ChemischeStof		mg/l	NVT	OW										195		0
NL37	20FZ-024-01	"NAGELERTOCHT, bij basisschool Klimop (NP103)"	178007	517704	12/01/2004	12/01/2004	10:30:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										176		0
NL37	20FZ-024-01	"NAGELERTOCHT, bij basisschool Klimop (NP103)"	178007	517704	12/01/2004	12/01/2004	10:30:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										7.4		0
NL37	20FZ-024-01	"NAGELERTOCHT, bij basisschool Klimop (NP103)"	178007	517704	12/01/2004	12/01/2004	10:30:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										176		0
NL37	20FZ-024-01	"NAGELERTOCHT, bij basisschool Klimop (NP103)"	178007	517704	12/01/2004	12/01/2004	10:30:00			WNS3838		T		Grootheid		oC	INSU	OW										5.1		0
NL37	20FZ-024-01	"NAGELERTOCHT, bij basisschool Klimop (NP103)"	178007	517704	12/01/2004	12/01/2004	10:30:00			WNS3839		VERZDGGD	O2	ChemischeStof		%	INSU	OW										66		0
NL37	20FZ-024-01	"NAGELERTOCHT, bij basisschool Klimop (NP103)"	178007	517704	12/01/2004	12/01/2004	10:30:00			WNS3840		CONCTTE	O2	ChemischeStof		mg/l	INSU	OW										8.2		0
NL37	20FZ-024-01	"NAGELERTOCHT, bij basisschool Klimop (NP103)"	178007	517704	12/01/2004	12/01/2004	10:30:00			WNS3844		ZICHT		Grootheid		cm	INSU	OW										90		0
NL37	20FZ-024-01	"NAGELERTOCHT, bij basisschool Klimop (NP103)"	178007	517704	12/01/2004	12/01/2004	10:30:00			WNS5096		CONCTTE	Fe	ChemischeStof		ug/l	NVT	OW										1900		0
NL37	20FZ-024-01	"NAGELERTOCHT, bij basisschool Klimop (NP103)"	178007	517704	12/01/2004	12/01/2004	10:30:00			WNS6927		AANWZHD	KLEUR	Object		DIMSLS	INSU	OW										20		0
NL37	21AZ-069-01	"RAMSTOCHT, duiker Redeweg (NP209)"	182548	514802	12/01/2004	12/01/2004	10:45:00			WNS2261		CONCTTE	Cl	ChemischeStof		mg/l	NVT	OW										87		0
NL37	21AZ-069-01	"RAMSTOCHT, duiker Redeweg (NP209)"	182548	514802	12/01/2004	12/01/2004	10:45:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										121		0
NL37	21AZ-069-01	"RAMSTOCHT, duiker Redeweg (NP209)"	182548	514802	12/01/2004	12/01/2004	10:45:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										7.6		0
NL37	21AZ-069-01	"RAMSTOCHT, duiker Redeweg (NP209)"	182548	514802	12/01/2004	12/01/2004	10:45:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										121		0
NL37	21AZ-069-01	"RAMSTOCHT, duiker Redeweg (NP209)"	182548	514802	12/01/2004	12/01/2004	10:45:00			WNS3838		T		Grootheid		oC	INSU	OW										4.8		0
NL37	21AZ-069-01	"RAMSTOCHT, duiker Redeweg (NP209)"	182548	514802	12/01/2004	12/01/2004	10:45:00			WNS3839		VERZDGGD	O2	ChemischeStof		%	INSU	OW										78		0
NL37	21AZ-069-01	"RAMSTOCHT, duiker Redeweg (NP209)"	182548	514802	12/01/2004	12/01/2004	10:45:00			WNS3840		CONCTTE	O2	ChemischeStof		mg/l	INSU	OW										9.9		0
NL37	21AZ-069-01	"RAMSTOCHT, duiker Redeweg (NP209)"	182548	514802	12/01/2004	12/01/2004	10:45:00			WNS3844		ZICHT		Grootheid		cm	INSU	OW									>	60		0
NL37	21AZ-069-01	"RAMSTOCHT, duiker Redeweg (NP209)"	182548	514802	12/01/2004	12/01/2004	10:45:00			WNS5096		CONCTTE	Fe	ChemischeStof		ug/l	NVT	OW										700		0
NL37	21AZ-069-01	"RAMSTOCHT, duiker Redeweg (NP209)"	182548	514802	12/01/2004	12/01/2004	10:45:00			WNS6927		AANWZHD	KLEUR	Object		DIMSLS	INSU	OW										110		0
NL37	21AN-117-01	"HERTENTOCHT, duiker Zuiderringweg (NP218)"	188588	519172	12/01/2004	12/01/2004	11:00:00			WNS2261		CONCTTE	Cl	ChemischeStof		mg/l	NVT	OW										110		0
NL37	21AN-117-01	"HERTENTOCHT, duiker Zuiderringweg (NP218)"	188588	519172	12/01/2004	12/01/2004	11:00:00			WNS3390		GELDHD		Grootheid		mS/m	25oC	OW										133		0
NL37	21AN-117-01	"HERTENTOCHT, duiker Zuiderringweg (NP218)"	188588	519172	12/01/2004	12/01/2004	11:00:00			WNS3835		pH		Grootheid		DIMSLS	INSU	OW										7.2		0
NL37	21AN-117-01	"HERTENTOCHT, duiker Zuiderringweg (NP218)"	188588	519172	12/01/2004	12/01/2004	11:00:00			WNS3836		GELDHD		Grootheid		mS/m	INSU	OW										133		0
NL37	21AN-117-01	"HERTENTOCHT, duiker Zuiderringweg (NP218)"	188588	519172	12/01/2004	12/01/2004	11:00:00			WNS3838		T		Grootheid		oC	INSU	OW										5		0
NL37	21AN-117-01	"HERTENTOCHT, duiker Zuiderringweg (NP218)"	188588	519172	12/01/2004	12/01/2004	11:00:00			WNS3839		VERZDGGD	O2	ChemischeStof		%	INSU	OW										69		0
NL37	21AN-117-01	"HERTENTOCHT, duiker Zuiderringweg (NP218)"	188588	519172	12/01/2004	12/01/2004	11:00:00			WNS3840		CONCTTE	O2	ChemischeStof		mg/l	INSU	OW										8.7		0
NL37	21AN-117-01	"HERTENTOCHT, duiker Zuiderringweg (NP218)"	188588	519172	12/01/2004	12/01/2004	11:00:00			WNS3844		ZICHT		Grootheid		cm	INSU	OW										90		0
NL37	21AN-117-01	"HERTENTOCHT, duiker Zuiderringweg (NP218)"	188588	519172	12/01/2004	12/01/2004	11:00:00			WNS5096		CONCTTE	Fe	ChemischeStof		ug/l	NVT	OW										990		0
NL37	21AN-117-01	"HERTENTOCHT, duiker Zuiderringweg (NP218)"	188588	519172	12/01/2004	12/01/2004	11:00:00			WNS6927		AANWZHD	KLEUR	Object		DIMSLS	INSU	OW										110		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS1147		CONCTTE	Hg	ChemischeStof		ug/l	NVT	OW									<	0.01		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS1415		CONCTTE	Ni	ChemischeStof		ug/l	NVT	OW										2		0
NL37	26BN-001-01	"LAGE VAART, Lage Knarsluis vanaf steiger"	158206	495573	12/01/2004	12/01/2004	11:00:00			WNS1471		CONCTTE	Pb	ChemischeStof		ug/l	NVT	OW									<	5		0
